,zcr,ste,mfccs_mean_1,mfccs_std_1,mfccs_mean_2,mfccs_std_2,mfccs_mean_3,mfccs_std_3,mfccs_mean_4,mfccs_std_4,mfccs_mean_5,mfccs_std_5,mfccs_mean_6,mfccs_std_6,mfccs_mean_7,mfccs_std_7,mfccs_mean_8,mfccs_std_8,mfccs_mean_9,mfccs_std_9,mfccs_mean_10,mfccs_std_10,mfccs_mean_11,mfccs_std_11,mfccs_mean_12,mfccs_std_12,mfccs_mean_13,mfccs_std_13
Rahul Gandhi.mp3,0.07419542387263986,5.761648654937744,-450.1559753417969,124.81846618652344,85.84477233886719,67.35592651367188,-17.884862899780273,32.71348571777344,-8.989567756652832,24.09855079650879,-8.479177474975586,19.66219711303711,-5.0925726890563965,17.141681671142578,-2.7440121173858643,11.298654556274414,0.07655664533376694,11.389391899108887,-1.3666716814041138,9.412328720092773,-6.603728294372559,10.163342475891113,-6.7572526931762695,11.182966232299805,-2.8148698806762695,9.279415130615234,-3.368312120437622,8.27208423614502
Jens_Stoltenberg.mp3,0.18420988045489942,18.11971092224121,-275.84521484375,127.31290435791016,72.88259887695312,43.433074951171875,-33.577789306640625,50.201908111572266,47.76906204223633,26.57435417175293,-21.54538917541504,28.291784286499023,14.633893013000488,17.928865432739258,-22.501413345336914,20.51540184020996,-0.5150952339172363,15.985732078552246,-16.262269973754883,13.423096656799316,-10.05362319946289,11.473013877868652,-10.460610389709473,10.235184669494629,-13.91858196258545,9.413698196411133,-6.878048419952393,9.88939380645752
Mahatma Gandhi.mp3,0.040612132688854635,9.240777969360352,-415.5529479980469,64.91014099121094,135.75486755371094,59.113739013671875,8.141138076782227,28.496267318725586,34.49041748046875,21.428632736206055,43.08595657348633,26.68539810180664,5.626565456390381,16.99823760986328,0.037180379033088684,18.5540714263916,-0.8226532340049744,11.88427734375,-1.5329138040542603,10.908122062683105,0.5103173851966858,10.149614334106445,-7.857080936431885,11.151769638061523,-6.763264179229736,10.273845672607422,-3.3266258239746094,9.14055061340332
Justin Trudeau.mp3,0.04883865515837358,3.3496458530426025,-430.8125915527344,80.7081527709961,159.66729736328125,48.018287658691406,-8.884074211120605,46.00724411010742,28.41727066040039,27.130691528320312,19.46554183959961,22.724609375,-0.926566481590271,16.184261322021484,6.782534122467041,13.681928634643555,-7.399984836578369,14.984106063842773,-4.498656749725342,12.85213565826416,-3.730254888534546,11.152613639831543,-9.025167465209961,11.1437349319458,-1.8964858055114746,9.219512939453125,-3.372342109680176,9.277531623840332
Queen Victoria.mp3,0.06167723766056779,9.214468002319336,-273.5716247558594,36.20852279663086,164.02828979492188,30.119964599609375,-24.00160789489746,17.474199295043945,30.192602157592773,19.30487632751465,-8.831207275390625,18.711088180541992,15.83673095703125,16.60275650024414,-9.715934753417969,13.094696998596191,2.141143798828125,11.105634689331055,-11.378613471984863,13.41935920715332,1.3396453857421875,11.660773277282715,4.91214656829834,9.197237968444824,-7.688693046569824,11.384137153625488,5.899471759796143,9.64566707611084
BARACK OBAMA.mp3,0.08357819377705071,2.593108892440796,-434.65557861328125,102.9749984741211,107.6608657836914,56.72596740722656,-31.25372886657715,41.88304138183594,12.23885726928711,27.368051528930664,5.138817310333252,21.035903930664062,-2.380176067352295,18.04261589050293,-2.156020402908325,13.765995979309082,-14.877420425415039,13.900906562805176,-19.8360538482666,13.910646438598633,-13.590100288391113,12.943646430969238,-7.711843490600586,10.775712966918945,-4.878842830657959,9.102872848510742,2.7417829036712646,10.547937393188477
Benjamin_Netanyau.mp3,0.1530184871221172,25.269947052001953,-233.10885620117188,126.287841796875,93.3736801147461,34.118839263916016,-63.59431076049805,49.729957580566406,52.32179641723633,20.139328002929688,-10.232513427734375,26.26838493347168,15.544013977050781,15.447607040405273,-20.634746551513672,18.95037269592285,7.719806671142578,11.87260627746582,-19.427385330200195,12.182892799377441,-7.938809394836426,10.34769344329834,-12.864580154418945,10.703857421875,-15.86683177947998,8.743971824645996,-4.638332843780518,8.218791007995605
Yogi Adityanath.mp3,0.029091940926802114,3.252772808074951,-433.5221252441406,71.13227081298828,160.92697143554688,40.6954460144043,12.530706405639648,26.59650421142578,10.20025634765625,17.355192184448242,13.298853874206543,18.297704696655273,-16.164709091186523,17.269561767578125,-19.04298210144043,14.731790542602539,-5.179762363433838,11.086756706237793,-1.0832393169403076,9.472739219665527,-9.04461669921875,9.014286994934082,-7.991841793060303,8.89426040649414,-3.7891509532928467,7.934360980987549,-10.863414764404297,8.904684066772461
Julia_Gillard.mp3,0.16094199305363083,62.76088333129883,-157.70335388183594,57.21213912963867,101.51583862304688,38.6086311340332,-44.876258850097656,34.872676849365234,65.52418518066406,26.569536209106445,-29.892202377319336,20.220901489257812,22.025135040283203,17.439218521118164,-23.879589080810547,17.1295108795166,8.287236213684082,17.82933235168457,-19.774169921875,15.344743728637695,-6.546874523162842,11.86552906036377,-16.629215240478516,11.121134757995605,-21.5166015625,10.809314727783203,-0.5124133229255676,10.512312889099121
Sonia Gandhi.mp3,0.05335234064899023,10.893251419067383,-352.7300109863281,71.51197052001953,133.79710388183594,29.770689010620117,10.350546836853027,25.742555618286133,12.55872631072998,20.91267967224121,-14.823088645935059,22.554832458496094,-2.506363868713379,17.69842529296875,-22.130359649658203,14.985004425048828,-3.210702896118164,11.957255363464355,0.949364960193634,10.783018112182617,-6.5747389793396,10.221808433532715,-12.307662963867188,9.871826171875,-9.647534370422363,10.607796669006348,-5.895552635192871,8.894118309020996
